operation,library,samples,median_ops_per_second,mean_ops_per_second,stdev_ops_per_second,coefficient_of_variation_pct,min_ops_per_second,max_ops_per_second,median_ns_per_operation,median_peak_rss_bytes,average_payload_bytes,binary_size_bytes
string-serialize,fory-json,7,3066333.073441,3063249.776602143,21341.559421764698,0.6966966776518451,3033763.719973,3095031.566039,326.122432,64339968.0,343.398,32209264
string-serialize,jackson-generated,7,1531945.485015,1532910.5989351429,12727.472819235156,0.8302814807384375,1515669.141508,1550411.055788,652.764742,79888384.0,343.398,79695456
string-serialize,jackson,7,1499135.000377,1466539.4448848572,82679.57976389764,5.637733103754948,1279550.016697,1504317.04161,667.051333,67403776.0,343.398,24342768
string-deserialize,fory-json,7,1197073.888929,1196015.394700857,6637.595370049443,0.5549757469225229,1187707.506665,1203217.598603,835.370322,64356352.0,343.398,32209264
string-deserialize,jackson-generated,7,314669.386483,315495.26542857144,2340.260126468272,0.741773453648898,312751.131608,318639.235618,3177.938633,80199680.0,343.398,79695456
string-deserialize,jackson,7,802708.857275,802914.1458334286,3014.1231105505744,0.3753979334144002,799383.415125,807708.027575,1245.781694,67600384.0,343.398,24342768
utf8-serialize,fory-json,7,4498108.176608,4483944.261382143,35280.96502097599,0.7868288043817229,4413732.303477,4511521.174756,222.315685,64323584.0,343.398,32209264
utf8-serialize,jackson-generated,7,1596231.971398,1592294.9308124285,13500.126157897714,0.8478408049072677,1567662.457821,1611180.446576,626.475361,79904768.0,343.398,79695456
utf8-serialize,jackson,7,1538774.612007,1539369.682318,9593.879978195706,0.6232343074178995,1525102.802519,1555606.074063,649.867753,67436544.0,343.398,24342768
utf8-deserialize,fory-json,7,1980725.88166,1973713.9375747142,14689.148141500113,0.7442389629953181,1953670.652722,1990424.538308,504.865418,64372736.0,343.398,32209264
utf8-deserialize,jackson-generated,7,336317.301355,336041.33641171426,2195.0649761676823,0.6532127861431642,331883.118646,338986.742281,2973.382565,80183296.0,343.398,79695456
utf8-deserialize,jackson,7,955115.654586,955104.3995937144,4917.937479171302,0.5149109857794929,947243.511603,960539.153815,1046.993623,67469312.0,343.398,24342768
